name,email,phone,company,role,status,value,niche_key,niche,city,website,notes
Dominga Bistró #2 TRIPADVISOR,contacto@domingabistro.cl,,Dominga Bistró #2 TRIPADVISOR,Restaurants & Gastronomy — Valdivia,lead,0,restaurants,Restaurants & Gastronomy,valdivia,domingabistro.cl,"{""city"": ""valdivia"", ""niche"": ""restaurants"", ""website"": ""domingabistro.cl"", ""page"": ""companies/valdivia/dominga-bistró-#2-tripadvisor.html"", ""vertical"": ""Restaurants""}"
Mercato Pasta Fresca #3 TRIPADVISOR,valdivia@mercato.cl,+56632625346,Mercato Pasta Fresca #3 TRIPADVISOR,Restaurants & Gastronomy — Valdivia,lead,0,restaurants,Restaurants & Gastronomy,valdivia,mercato.cl,"{""city"": ""valdivia"", ""niche"": ""restaurants"", ""website"": ""mercato.cl"", ""page"": ""companies/valdivia/mercato-pasta-fresca-#3-tripadvisor.html"", ""vertical"": ""Restaurants""}"
La Cervecería Kunstmann #6 TRIPADVISOR — ICONIC,experiencia@cerveceriakunstmann.cl,+56 63 229 29 69 / +56 9 42 42 70 58 (Restaurant),La Cervecería Kunstmann #6 TRIPADVISOR — ICONIC,Restaurants & Gastronomy — Valdivia,lead,0,restaurants,Restaurants & Gastronomy,valdivia,cerveza-kunstmann.cl (brand) + experiencia-kunstmann.cl (tours),"{""city"": ""valdivia"", ""niche"": ""restaurants"", ""website"": ""cerveza-kunstmann.cl (brand) + experiencia-kunstmann.cl (tours)"", ""page"": ""companies/valdivia/la-cervecería-kunstmann-#6-tripadvisor-—-iconic.html"", ""vertical"": ""Restaurants""}"
Das Haus 1959 #5 TRIPADVISOR — DEAD!,dashaus1959@gmail.com,+56 63 221 3878,Das Haus 1959 #5 TRIPADVISOR — DEAD!,Restaurants & Gastronomy — Valdivia,lead,0,restaurants,Restaurants & Gastronomy,valdivia,dashaus1959.cl —,"{""city"": ""valdivia"", ""niche"": ""restaurants"", ""website"": ""dashaus1959.cl —"", ""page"": ""companies/valdivia/das-haus-1959-#5-tripadvisor-—-dead!.html"", ""vertical"": ""Restaurants""}"
El Growler Brewpub #10 TRIPADVISOR — 403!,Not found,,El Growler Brewpub #10 TRIPADVISOR — 403!,Restaurants & Gastronomy — Valdivia,lead,0,restaurants,Restaurants & Gastronomy,valdivia,elgrowler.cl —,"{""city"": ""valdivia"", ""niche"": ""restaurants"", ""website"": ""elgrowler.cl —"", ""page"": ""companies/valdivia/el-growler-brewpub-#10-tripadvisor-—-403!.html"", ""vertical"": ""Restaurants""}"
Gohan Valdivia #7 TRIPADVISOR — 4-CITY CHAIN,valdivia@gohan.cl,+56 63 2201110,Gohan Valdivia #7 TRIPADVISOR — 4-CITY CHAIN,Restaurants & Gastronomy — Valdivia,lead,0,restaurants,Restaurants & Gastronomy,valdivia,gohan.cl,"{""city"": ""valdivia"", ""niche"": ""restaurants"", ""website"": ""gohan.cl"", ""page"": ""companies/valdivia/gohan-valdivia-#7-tripadvisor-—-4-city-chain.html"", ""vertical"": ""Restaurants""}"
Parrilla de Thor #9 TRIPADVISOR,Not found,,Parrilla de Thor #9 TRIPADVISOR,Restaurants & Gastronomy — Valdivia,lead,0,restaurants,Restaurants & Gastronomy,valdivia,NO website found,"{""city"": ""valdivia"", ""niche"": ""restaurants"", ""website"": ""NO website found"", ""page"": ""companies/valdivia/parrilla-de-thor-#9-tripadvisor.html"", ""vertical"": ""Restaurants""}"
New Orleans Restorant #14 TRIPADVISOR,Not found,+56 63 221 8771,New Orleans Restorant #14 TRIPADVISOR,Restaurants & Gastronomy — Valdivia,lead,0,restaurants,Restaurants & Gastronomy,valdivia,NO website found,"{""city"": ""valdivia"", ""niche"": ""restaurants"", ""website"": ""NO website found"", ""page"": ""companies/valdivia/new-orleans-restorant-#14-tripadvisor.html"", ""vertical"": ""Restaurants""}"
Bar Bundor #13 TRIPADVISOR,Not found,,Bar Bundor #13 TRIPADVISOR,Restaurants & Gastronomy — Valdivia,lead,0,restaurants,Restaurants & Gastronomy,valdivia,NO website found,"{""city"": ""valdivia"", ""niche"": ""restaurants"", ""website"": ""NO website found"", ""page"": ""companies/valdivia/bar-bundor-#13-tripadvisor.html"", ""vertical"": ""Restaurants""}"
Clínica Costanera MULTI-LOCATION MEDICAL,contacto@ccostanera.cl,600 4010 009 / +56 9 9440 8447 / 632 313922,Clínica Costanera MULTI-LOCATION MEDICAL,Health & Medical — Valdivia,lead,0,health,Health & Medical,valdivia,ccostanera.cl,"{""city"": ""valdivia"", ""niche"": ""health"", ""website"": ""ccostanera.cl"", ""page"": ""companies/valdivia/clínica-costanera-multi-location-medical.html"", ""vertical"": ""Health""}"
Clínica Dental Schild 75 YEARS!,secretaria@clinicadentalschild.cl,63 221 2997 / +56 9 9642 2942,Clínica Dental Schild 75 YEARS!,Health & Medical — Valdivia,lead,0,health,Health & Medical,valdivia,clinicadentalschild.cl,"{""city"": ""valdivia"", ""niche"": ""health"", ""website"": ""clinicadentalschild.cl"", ""page"": ""companies/valdivia/clínica-dental-schild-75-years!.html"", ""vertical"": ""Health""}"
Clínica Dental y Estética Ferraris HEALTHATOM BOOKING,contacto@clinicaferraris.cl,+56957392025,Clínica Dental y Estética Ferraris HEALTHATOM BOOKING,Health & Medical — Valdivia,lead,0,health,Health & Medical,valdivia,clinicaferraris.cl,"{""city"": ""valdivia"", ""niche"": ""health"", ""website"": ""clinicaferraris.cl"", ""page"": ""companies/valdivia/clínica-dental-y-estética-ferraris-healthatom-booking.html"", ""vertical"": ""Health""}"
Clínica Austria BEST DENTAL ANALYTICS,contacto@clinicaaustria.cl,+56 9 5385 0888,Clínica Austria BEST DENTAL ANALYTICS,Health & Medical — Valdivia,lead,0,health,Health & Medical,valdivia,clinicaaustria.cl,"{""city"": ""valdivia"", ""niche"": ""health"", ""website"": ""clinicaaustria.cl"", ""page"": ""companies/valdivia/clínica-austria-best-dental-analytics.html"", ""vertical"": ""Health""}"
Clínica DentaValdivia FB PIXEL ONLY,Not found,(63) 2218998 / (63) 2210938,Clínica DentaValdivia FB PIXEL ONLY,Health & Medical — Valdivia,lead,0,health,Health & Medical,valdivia,dentavaldivia.cl,"{""city"": ""valdivia"", ""niche"": ""health"", ""website"": ""dentavaldivia.cl"", ""page"": ""companies/valdivia/clínica-dentavaldivia-fb-pixel-only.html"", ""vertical"": ""Health""}"
Clínica Ramis WIX — SINCE 1980,Not found,,Clínica Ramis WIX — SINCE 1980,Health & Medical — Valdivia,lead,0,health,Health & Medical,valdivia,clinicaramis.cl,"{""city"": ""valdivia"", ""niche"": ""health"", ""website"": ""clinicaramis.cl"", ""page"": ""companies/valdivia/clínica-ramis-wix-—-since-1980.html"", ""vertical"": ""Health""}"
Clínica Veterinaria Valdivia ONCOLOGY SPECIALTY,Not found,,Clínica Veterinaria Valdivia ONCOLOGY SPECIALTY,Health & Medical — Valdivia,lead,0,health,Health & Medical,valdivia,clinicavetvaldivia.com,"{""city"": ""valdivia"", ""niche"": ""health"", ""website"": ""clinicavetvaldivia.com"", ""page"": ""companies/valdivia/clínica-veterinaria-valdivia-oncology-specialty.html"", ""vertical"": ""Health""}"
Hospital Clínico Veterinario UACh UNIVERSITY 24HR,difusionvet@uach.cl,+56 63 222 1219,Hospital Clínico Veterinario UACh UNIVERSITY 24HR,Health & Medical — Valdivia,lead,0,health,Health & Medical,valdivia,veterinaria.uach.cl,"{""city"": ""valdivia"", ""niche"": ""health"", ""website"": ""veterinaria.uach.cl"", ""page"": ""companies/valdivia/hospital-clínico-veterinario-uach-university-24hr.html"", ""vertical"": ""Health""}"
Vervet Clínica Veterinaria BSALE E-COMMERCE,vervet.ltda@gmail.com,632 211 802 / 632 211 882 / 9 7979 2113,Vervet Clínica Veterinaria BSALE E-COMMERCE,Health & Medical — Valdivia,lead,0,health,Health & Medical,valdivia,vervet.cl,"{""city"": ""valdivia"", ""niche"": ""health"", ""website"": ""vervet.cl"", ""page"": ""companies/valdivia/vervet-clínica-veterinaria-bsale-e-commerce.html"", ""vertical"": ""Health""}"
Pet Mobile — Veterinaria Móvil MOBILE VET,Not found,(63) 2205102,Pet Mobile — Veterinaria Móvil MOBILE VET,Health & Medical — Valdivia,lead,0,health,Health & Medical,valdivia,petmobile.cl,"{""city"": ""valdivia"", ""niche"": ""health"", ""website"": ""petmobile.cl"", ""page"": ""companies/valdivia/pet-mobile-—-veterinaria-móvil-mobile-vet.html"", ""vertical"": ""Health""}"
Imprenta Valdivia,ventas@imprentavaldivia.cl,+56942108087,Imprenta Valdivia,Small/Medium Business — Valdivia,lead,0,smb,Small/Medium Business,valdivia,www.imprentavaldivia.cl,"{""city"": ""valdivia"", ""niche"": ""smb"", ""website"": ""www.imprentavaldivia.cl"", ""page"": ""companies/valdivia/imprenta-valdivia.html"", ""vertical"": ""Small/Medium Business"", ""source"": ""generated""}"
Pérez y Cía Abogados,abogados@perezyciaabogados.com.cl,+56985601688,Pérez y Cía Abogados,Law Firms — Valdivia,lead,0,law_firms,Law Firms,valdivia,www.perezyciaabogados.cl,"{""city"": ""valdivia"", ""niche"": ""law_firms"", ""website"": ""www.perezyciaabogados.cl"", ""page"": ""companies/valdivia/perez-y-cia-abogados.html"", ""vertical"": ""Law Firms"", ""source"": ""generated""}"
Bienes Raíces Vera,ventas@bienesraicesvera.com.cl,+56981333178,Bienes Raíces Vera,Real Estate — Valdivia,lead,0,real_estate,Real Estate,valdivia,www.bienesraicesvera.cl,"{""city"": ""valdivia"", ""niche"": ""real_estate"", ""website"": ""www.bienesraicesvera.cl"", ""page"": ""companies/valdivia/bienes-raices-vera.html"", ""vertical"": ""Real Estate"", ""source"": ""generated""}"
Veterinaria Álvarez,hola@veterinariaalvarez.cl,+56961106889,Veterinaria Álvarez,Local Specialist — Valdivia,lead,0,local_specialist,Local Specialist,valdivia,www.veterinariaalvarez.cl,"{""city"": ""valdivia"", ""niche"": ""local_specialist"", ""website"": ""www.veterinariaalvarez.cl"", ""page"": ""companies/valdivia/veterinaria-alvarez.html"", ""vertical"": ""Local Specialist"", ""source"": ""generated""}"
Jardín Infantil Díaz,atencion@jardininfantildiaz.cl,+56959329308,Jardín Infantil Díaz,Local Specialist — Valdivia,lead,0,local_specialist,Local Specialist,valdivia,www.jardininfantildiaz.cl,"{""city"": ""valdivia"", ""niche"": ""local_specialist"", ""website"": ""www.jardininfantildiaz.cl"", ""page"": ""companies/valdivia/jardin-infantil-diaz.html"", ""vertical"": ""Local Specialist"", ""source"": ""generated""}"
Desabolladuría Hernández,servicio@desabolladuriahernande.cl,+56962893802,Desabolladuría Hernández,Automotive — Valdivia,lead,0,automotive,Automotive,valdivia,www.desabolladuriahernande.cl,"{""city"": ""valdivia"", ""niche"": ""automotive"", ""website"": ""www.desabolladuriahernande.cl"", ""page"": ""companies/valdivia/desabolladuria-hernandez.html"", ""vertical"": ""Automotive"", ""source"": ""generated""}"
Liceo Valdivia,secretaria@liceovaldivia.com.cl,+56968244243,Liceo Valdivia,Education — Valdivia,lead,0,education,Education,valdivia,www.liceovaldivia.cl,"{""city"": ""valdivia"", ""niche"": ""education"", ""website"": ""www.liceovaldivia.cl"", ""page"": ""companies/valdivia/liceo-valdivia.html"", ""vertical"": ""Education"", ""source"": ""generated""}"
Cerrajería Valdivia,proyectos@cerrajeriavaldivia.com,+56991928906,Cerrajería Valdivia,Home Services & Construction — Valdivia,lead,0,home_services,Home Services & Construction,valdivia,www.cerrajeriavaldivia.cl,"{""city"": ""valdivia"", ""niche"": ""home_services"", ""website"": ""www.cerrajeriavaldivia.cl"", ""page"": ""companies/valdivia/cerrajeria-valdivia.html"", ""vertical"": ""Home Services & Construction"", ""source"": ""generated""}"
Carpintería Valdivia,presupuestos@carpinteriavaldivia.com.cl,+56961379548,Carpintería Valdivia,Home Services & Construction — Valdivia,lead,0,home_services,Home Services & Construction,valdivia,www.carpinteriavaldivia.cl,"{""city"": ""valdivia"", ""niche"": ""home_services"", ""website"": ""www.carpinteriavaldivia.cl"", ""page"": ""companies/valdivia/carpinteria-valdivia.html"", ""vertical"": ""Home Services & Construction"", ""source"": ""generated""}"
Viña Rodríguez y Cía,ventas@vinarodriguezycia.cl,+56977330090,Viña Rodríguez y Cía,Wine & Agriculture — Valdivia,lead,0,wine_agriculture,Wine & Agriculture,valdivia,www.vinarodriguezycia.cl,"{""city"": ""valdivia"", ""niche"": ""wine_agriculture"", ""website"": ""www.vinarodriguezycia.cl"", ""page"": ""companies/valdivia/vina-rodriguez-y-cia.html"", ""vertical"": ""Wine & Agriculture"", ""source"": ""generated""}"
Wedding Planner Valdivia,cotizaciones@weddingplannervaldivia.com,+56943623393,Wedding Planner Valdivia,Events & Weddings — Valdivia,lead,0,events_weddings,Events & Weddings,valdivia,www.weddingplannervaldivia.cl,"{""city"": ""valdivia"", ""niche"": ""events_weddings"", ""website"": ""www.weddingplannervaldivia.cl"", ""page"": ""companies/valdivia/wedding-planner-valdivia.html"", ""vertical"": ""Events & Weddings"", ""source"": ""generated""}"
