name,email,phone,company,role,status,value,niche_key,niche,city,website,notes
1 Restaurant Maracuyá,Not found,+56 58 222 7600,1 Restaurant Maracuyá,Restaurants & Gastronomy — Arica,lead,0,restaurants,Restaurants & Gastronomy,arica,restaurantmaracuya.cl,"{""city"": ""arica"", ""niche"": ""restaurants"", ""website"": ""restaurantmaracuya.cl"", ""page"": ""companies/arica/1-restaurant-maracuyá.html"", ""vertical"": ""Restaurants""}"
2 Restaurante Rayú,rayu.gourmet@gmail.com,+56 9 7165 3390,2 Restaurante Rayú,Restaurants & Gastronomy — Arica,lead,0,restaurants,Restaurants & Gastronomy,arica,rayugourmet.com,"{""city"": ""arica"", ""niche"": ""restaurants"", ""website"": ""rayugourmet.com"", ""page"": ""companies/arica/2-restaurante-rayú.html"", ""vertical"": ""Restaurants""}"
3 El Rey del Marisco,reydelmarisco@hotmail.com,+56 58 229 4315,3 El Rey del Marisco,Restaurants & Gastronomy — Arica,lead,0,restaurants,Restaurants & Gastronomy,arica,No website,"{""city"": ""arica"", ""niche"": ""restaurants"", ""website"": ""No website"", ""page"": ""companies/arica/3-el-rey-del-marisco.html"", ""vertical"": ""Restaurants""}"
4 Los Aleros de 21,Not found,+56 58 225 4621,4 Los Aleros de 21,Restaurants & Gastronomy — Arica,lead,0,restaurants,Restaurants & Gastronomy,arica,No website,"{""city"": ""arica"", ""niche"": ""restaurants"", ""website"": ""No website"", ""page"": ""companies/arica/4-los-aleros-de-21.html"", ""vertical"": ""Restaurants""}"
5 Don Floro,Not found,+56 58 231 481,5 Don Floro,Restaurants & Gastronomy — Arica,lead,0,restaurants,Restaurants & Gastronomy,arica,No website,"{""city"": ""arica"", ""niche"": ""restaurants"", ""website"": ""No website"", ""page"": ""companies/arica/5-don-floro.html"", ""vertical"": ""Restaurants""}"
6 El Chalán,Not found,+56 9 6640 0565 / +56 58 231 9601,6 El Chalán,Restaurants & Gastronomy — Arica,lead,0,restaurants,Restaurants & Gastronomy,arica,No website,"{""city"": ""arica"", ""niche"": ""restaurants"", ""website"": ""No website"", ""page"": ""companies/arica/6-el-chalán.html"", ""vertical"": ""Restaurants""}"
7 Medina's Restaurante Gourmet,medinas.restaurantearica@gmail.com,+56 9 5305 8462,7 Medina's Restaurante Gourmet,Restaurants & Gastronomy — Arica,lead,0,restaurants,Restaurants & Gastronomy,arica,No website,"{""city"": ""arica"", ""niche"": ""restaurants"", ""website"": ""No website"", ""page"": ""companies/arica/7-medina's-restaurante-gourmet.html"", ""vertical"": ""Restaurants""}"
8 La Posta,lapostaarica@gmail.com,+56 9 8127 1954 / +56 58 225 1955,8 La Posta,Restaurants & Gastronomy — Arica,lead,0,restaurants,Restaurants & Gastronomy,arica,lapostachile.wixsite.com/laposta,"{""city"": ""arica"", ""niche"": ""restaurants"", ""website"": ""lapostachile.wixsite.com/laposta"", ""page"": ""companies/arica/8-la-posta.html"", ""vertical"": ""Restaurants""}"
9 Albertina,Not found,+56 9 4247 1125,9 Albertina,Restaurants & Gastronomy — Arica,lead,0,restaurants,Restaurants & Gastronomy,arica,linktr.ee,"{""city"": ""arica"", ""niche"": ""restaurants"", ""website"": ""linktr.ee"", ""page"": ""companies/arica/9-albertina.html"", ""vertical"": ""Restaurants""}"
10 Chayan Mariscos,chayannoel4@gmail.com,+56 9 3581 8612,10 Chayan Mariscos,Restaurants & Gastronomy — Arica,lead,0,restaurants,Restaurants & Gastronomy,arica,No website,"{""city"": ""arica"", ""niche"": ""restaurants"", ""website"": ""No website"", ""page"": ""companies/arica/10-chayan-mariscos.html"", ""vertical"": ""Restaurants""}"
1 Centro Médico Veterinario PETS,drpetsarica@hotmail.com,+56 58 221 0284 / +56 9 8972 0802,1 Centro Médico Veterinario PETS,Health & Medical — Arica,lead,0,health,Health & Medical,arica,petsarica.cl,"{""city"": ""arica"", ""niche"": ""health"", ""website"": ""petsarica.cl"", ""page"": ""companies/arica/1-centro-médico-veterinario-pets.html"", ""vertical"": ""Health""}"
2 Clínica Veterinaria Evolución Animal,contacto@evolucionanimal.cl,+56 9 5781 5922 / +56 58 249 1734,2 Clínica Veterinaria Evolución Animal,Health & Medical — Arica,lead,0,health,Health & Medical,arica,evolucionanimal.cl,"{""city"": ""arica"", ""niche"": ""health"", ""website"": ""evolucionanimal.cl"", ""page"": ""companies/arica/2-clínica-veterinaria-evolución-animal.html"", ""vertical"": ""Health""}"
3 Clínica Veterinaria San Ignacio,Not found,+56 9 6374 6807,3 Clínica Veterinaria San Ignacio,Health & Medical — Arica,lead,0,health,Health & Medical,arica,Reservio booking,"{""city"": ""arica"", ""niche"": ""health"", ""website"": ""Reservio booking"", ""page"": ""companies/arica/3-clínica-veterinaria-san-ignacio.html"", ""vertical"": ""Health""}"
4 Clínica Veterinaria Huellas & Pulsos,Not found,+56 58 222 3412,4 Clínica Veterinaria Huellas & Pulsos,Health & Medical — Arica,lead,0,health,Health & Medical,arica,No website,"{""city"": ""arica"", ""niche"": ""health"", ""website"": ""No website"", ""page"": ""companies/arica/4-clínica-veterinaria-huellas-&-pulsos.html"", ""vertical"": ""Health""}"
5 Clínica Dental Sonríe Arica,gerencia@clinicasonriearica.cl,+56 58 231 5975 / +56 9 5090 8158,5 Clínica Dental Sonríe Arica,Health & Medical — Arica,lead,0,health,Health & Medical,arica,clinicasonriearica.cl,"{""city"": ""arica"", ""niche"": ""health"", ""website"": ""clinicasonriearica.cl"", ""page"": ""companies/arica/5-clínica-dental-sonríe-arica.html"", ""vertical"": ""Health""}"
6 Centro Odontológico Dr. Daniel Guerrero,clinicadrdanielguerrero@gmail.com,+56 58 252 1751 / +56 9 9719 4188,6 Centro Odontológico Dr. Daniel Guerrero,Health & Medical — Arica,lead,0,health,Health & Medical,arica,odontologiadrguerrero.cl,"{""city"": ""arica"", ""niche"": ""health"", ""website"": ""odontologiadrguerrero.cl"", ""page"": ""companies/arica/6-centro-odontológico-dr.-daniel-guerrero.html"", ""vertical"": ""Health""}"
7 Clínica Dental Saucache,clinicasaucache@gmail.com,+56 9 6677 7100,7 Clínica Dental Saucache,Health & Medical — Arica,lead,0,health,Health & Medical,arica,clinicadentalsaucache.cl,"{""city"": ""arica"", ""niche"": ""health"", ""website"": ""clinicadentalsaucache.cl"", ""page"": ""companies/arica/7-clínica-dental-saucache.html"", ""vertical"": ""Health""}"
8 ARISA Centro Odontológico,Not on site,+56 9 5235 6068,8 ARISA Centro Odontológico,Health & Medical — Arica,lead,0,health,Health & Medical,arica,clinicaarisa.cl,"{""city"": ""arica"", ""niche"": ""health"", ""website"": ""clinicaarisa.cl"", ""page"": ""companies/arica/8-arisa-centro-odontológico.html"", ""vertical"": ""Health""}"
9 Centro Integral de Salud Arica,citas@centrointegalarica.cl,+56 58 223 1617 / +56 58 223 0317,9 Centro Integral de Salud Arica,Health & Medical — Arica,lead,0,health,Health & Medical,arica,centrointegralarica.cl,"{""city"": ""arica"", ""niche"": ""health"", ""website"": ""centrointegralarica.cl"", ""page"": ""companies/arica/9-centro-integral-de-salud-arica.html"", ""vertical"": ""Health""}"
10 CEGO Arica (Centro Ecográfico),Not on site (contact form only),+56 58 223 1271,10 CEGO Arica (Centro Ecográfico),Health & Medical — Arica,lead,0,health,Health & Medical,arica,cegoarica.cl,"{""city"": ""arica"", ""niche"": ""health"", ""website"": ""cegoarica.cl"", ""page"": ""companies/arica/10-cego-arica-(centro-ecográfico).html"", ""vertical"": ""Health""}"
Imprenta Arica,ventas@imprentaarica.com.cl,+56945285296,Imprenta Arica,Small/Medium Business — Arica,lead,0,smb,Small/Medium Business,arica,www.imprentaarica.cl,"{""city"": ""arica"", ""niche"": ""smb"", ""website"": ""www.imprentaarica.cl"", ""page"": ""companies/arica/imprenta-arica.html"", ""vertical"": ""Small/Medium Business"", ""source"": ""generated""}"
Taller Soto,administracion@tallersoto.cl,+56948616205,Taller Soto,Small/Medium Business — Arica,lead,0,smb,Small/Medium Business,arica,www.tallersoto.cl,"{""city"": ""arica"", ""niche"": ""smb"", ""website"": ""www.tallersoto.cl"", ""page"": ""companies/arica/taller-soto.html"", ""vertical"": ""Small/Medium Business"", ""source"": ""generated""}"
Bufete Rojas,info@bufeterojas.legal.cl,+56946898363,Bufete Rojas,Law Firms — Arica,lead,0,law_firms,Law Firms,arica,www.bufeterojas.cl,"{""city"": ""arica"", ""niche"": ""law_firms"", ""website"": ""www.bufeterojas.cl"", ""page"": ""companies/arica/bufete-rojas.html"", ""vertical"": ""Law Firms"", ""source"": ""generated""}"
Legal Arica,abogados@legalarica.legal.cl,+56950371898,Legal Arica,Law Firms — Arica,lead,0,law_firms,Law Firms,arica,www.legalarica.cl,"{""city"": ""arica"", ""niche"": ""law_firms"", ""website"": ""www.legalarica.cl"", ""page"": ""companies/arica/legal-arica.html"", ""vertical"": ""Law Firms"", ""source"": ""generated""}"
Bufete Sánchez,secretaria@bufetesanchez.legal.cl,+56965444008,Bufete Sánchez,Law Firms — Arica,lead,0,law_firms,Law Firms,arica,www.bufetesanchez.cl,"{""city"": ""arica"", ""niche"": ""law_firms"", ""website"": ""www.bufetesanchez.cl"", ""page"": ""companies/arica/bufete-sanchez.html"", ""vertical"": ""Law Firms"", ""source"": ""generated""}"
Corretaje Araya,info@corretajearaya.cl,+56992196729,Corretaje Araya,Real Estate — Arica,lead,0,real_estate,Real Estate,arica,www.corretajearaya.cl,"{""city"": ""arica"", ""niche"": ""real_estate"", ""website"": ""www.corretajearaya.cl"", ""page"": ""companies/arica/corretaje-araya.html"", ""vertical"": ""Real Estate"", ""source"": ""generated""}"
Propiedades Arica,info@propiedadesarica.cl,+56960935096,Propiedades Arica,Real Estate — Arica,lead,0,real_estate,Real Estate,arica,www.propiedadesarica.cl,"{""city"": ""arica"", ""niche"": ""real_estate"", ""website"": ""www.propiedadesarica.cl"", ""page"": ""companies/arica/propiedades-arica.html"", ""vertical"": ""Real Estate"", ""source"": ""generated""}"
Centro Tutorial Arica,contacto@centrotutorialarica.com,+56989293737,Centro Tutorial Arica,Local Specialist — Arica,lead,0,local_specialist,Local Specialist,arica,www.centrotutorialarica.cl,"{""city"": ""arica"", ""niche"": ""local_specialist"", ""website"": ""www.centrotutorialarica.cl"", ""page"": ""companies/arica/centro-tutorial-arica.html"", ""vertical"": ""Local Specialist"", ""source"": ""generated""}"
Jardín Infantil Castillo,contacto@jardininfantilcastil.cl,+56955362857,Jardín Infantil Castillo,Local Specialist — Arica,lead,0,local_specialist,Local Specialist,arica,www.jardininfantilcastillo.cl,"{""city"": ""arica"", ""niche"": ""local_specialist"", ""website"": ""www.jardininfantilcastillo.cl"", ""page"": ""companies/arica/jardin-infantil-castillo.html"", ""vertical"": ""Local Specialist"", ""source"": ""generated""}"
Repuestos Vera,taller@repuestosvera.com,+56989671599,Repuestos Vera,Automotive — Arica,lead,0,automotive,Automotive,arica,www.repuestosvera.cl,"{""city"": ""arica"", ""niche"": ""automotive"", ""website"": ""www.repuestosvera.cl"", ""page"": ""companies/arica/repuestos-vera.html"", ""vertical"": ""Automotive"", ""source"": ""generated""}"
Rent a Car Arica,ventas@rentacararica.cl,+56975003364,Rent a Car Arica,Automotive — Arica,lead,0,automotive,Automotive,arica,www.rentacararica.cl,"{""city"": ""arica"", ""niche"": ""automotive"", ""website"": ""www.rentacararica.cl"", ""page"": ""companies/arica/rent-a-car-arica.html"", ""vertical"": ""Automotive"", ""source"": ""generated""}"
Idiomas Arica,info@idiomasarica.cl,+56984379469,Idiomas Arica,Education — Arica,lead,0,education,Education,arica,www.idiomasarica.cl,"{""city"": ""arica"", ""niche"": ""education"", ""website"": ""www.idiomasarica.cl"", ""page"": ""companies/arica/idiomas-arica.html"", ""vertical"": ""Education"", ""source"": ""generated""}"
Colegio Arica,contacto@colegioarica.cl,+56970959640,Colegio Arica,Education — Arica,lead,0,education,Education,arica,www.colegioarica.cl,"{""city"": ""arica"", ""niche"": ""education"", ""website"": ""www.colegioarica.cl"", ""page"": ""companies/arica/colegio-arica.html"", ""vertical"": ""Education"", ""source"": ""generated""}"
Muebles a Medida Vera,obras@mueblesamedidavera.com,+56991243915,Muebles a Medida Vera,Home Services & Construction — Arica,lead,0,home_services,Home Services & Construction,arica,www.mueblesamedidavera.cl,"{""city"": ""arica"", ""niche"": ""home_services"", ""website"": ""www.mueblesamedidavera.cl"", ""page"": ""companies/arica/muebles-a-medida-vera.html"", ""vertical"": ""Home Services & Construction"", ""source"": ""generated""}"
Gasfitería Arica,contacto@gasfiteriaarica.com.cl,+56943515669,Gasfitería Arica,Home Services & Construction — Arica,lead,0,home_services,Home Services & Construction,arica,www.gasfiteriaarica.cl,"{""city"": ""arica"", ""niche"": ""home_services"", ""website"": ""www.gasfiteriaarica.cl"", ""page"": ""companies/arica/gasfiteria-arica.html"", ""vertical"": ""Home Services & Construction"", ""source"": ""generated""}"
Hortícola Gutiérrez,ventas@horticolagutierrez.cl,+56963104981,Hortícola Gutiérrez,Wine & Agriculture — Arica,lead,0,wine_agriculture,Wine & Agriculture,arica,www.horticolagutierrez.cl,"{""city"": ""arica"", ""niche"": ""wine_agriculture"", ""website"": ""www.horticolagutierrez.cl"", ""page"": ""companies/arica/horticola-gutierrez.html"", ""vertical"": ""Wine & Agriculture"", ""source"": ""generated""}"
Frutícola Martínez,exportacion@fruticolamartinez.cl,+56950758166,Frutícola Martínez,Wine & Agriculture — Arica,lead,0,wine_agriculture,Wine & Agriculture,arica,www.fruticolamartinez.cl,"{""city"": ""arica"", ""niche"": ""wine_agriculture"", ""website"": ""www.fruticolamartinez.cl"", ""page"": ""companies/arica/fruticola-martinez.html"", ""vertical"": ""Wine & Agriculture"", ""source"": ""generated""}"
Agrícola Pizarro,info@agricolapizarro.com,+56993125219,Agrícola Pizarro,Wine & Agriculture — Arica,lead,0,wine_agriculture,Wine & Agriculture,arica,www.agricolapizarro.cl,"{""city"": ""arica"", ""niche"": ""wine_agriculture"", ""website"": ""www.agricolapizarro.cl"", ""page"": ""companies/arica/agricola-pizarro.html"", ""vertical"": ""Wine & Agriculture"", ""source"": ""generated""}"
Inversiones Álvarez,seguros@inversionesalvarez.cl,+56995468281,Inversiones Álvarez,Financial Services — Arica,lead,0,financial_services,Financial Services,arica,www.inversionesalvarez.cl,"{""city"": ""arica"", ""niche"": ""financial_services"", ""website"": ""www.inversionesalvarez.cl"", ""page"": ""companies/arica/inversiones-alvarez.html"", ""vertical"": ""Financial Services"", ""source"": ""generated""}"
Inversiones López,info@inversioneslopez.com,+56998006239,Inversiones López,Financial Services — Arica,lead,0,financial_services,Financial Services,arica,www.inversioneslopez.cl,"{""city"": ""arica"", ""niche"": ""financial_services"", ""website"": ""www.inversioneslopez.cl"", ""page"": ""companies/arica/inversiones-lopez.html"", ""vertical"": ""Financial Services"", ""source"": ""generated""}"
Wedding Planner Arica,info@weddingplannerarica.com.cl,+56955746114,Wedding Planner Arica,Events & Weddings — Arica,lead,0,events_weddings,Events & Weddings,arica,www.weddingplannerarica.cl,"{""city"": ""arica"", ""niche"": ""events_weddings"", ""website"": ""www.weddingplannerarica.cl"", ""page"": ""companies/arica/wedding-planner-arica.html"", ""vertical"": ""Events & Weddings"", ""source"": ""generated""}"
Catering Arica,cotizaciones@cateringarica.com,+56987316699,Catering Arica,Events & Weddings — Arica,lead,0,events_weddings,Events & Weddings,arica,www.cateringarica.cl,"{""city"": ""arica"", ""niche"": ""events_weddings"", ""website"": ""www.cateringarica.cl"", ""page"": ""companies/arica/catering-arica.html"", ""vertical"": ""Events & Weddings"", ""source"": ""generated""}"
Video Producciones Carrasco,eventos@videoproduccionescarra.com.cl,+56969248393,Video Producciones Carrasco,Events & Weddings — Arica,lead,0,events_weddings,Events & Weddings,arica,www.videoproduccionescarra.cl,"{""city"": ""arica"", ""niche"": ""events_weddings"", ""website"": ""www.videoproduccionescarra.cl"", ""page"": ""companies/arica/video-producciones-carrasco.html"", ""vertical"": ""Events & Weddings"", ""source"": ""generated""}"
